Simplified	Traditional	Japanese	Pinyin	Jyutping	CC-CEDICT English definition
分钟	分鍾	分	fēn zhōng	fan1 zung1	minute
小	小	小さな	xiǎo	siu2	small / tiny / few / young
时	時	とき	shí	si4	surname Shi || o'clock / time / when / hour / season / period
钟	鍾	ベル	zhōng	zung1	surname Zhong || handleless cup / goblet / to concentrate / variant of 鐘｜钟 || clock / o'clock / time as measured in hours and minutes / bell / CL: 架, 座
整	整	全体	zhěng	zing2	exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb
杯	杯	カップ	bēi	bui1	cup / trophy cup / classifier for certain containers of liquids: glass, cup
啤	啤	ビール	pí	be1	beer
德	德	道義	dé	dak1	Germany / German / abbr. for 德國｜德国 || virtue / goodness / morality / ethics / kindness / favor / character / kind
德国	德國	ドイツ	dé guó	dak1 gwok3	Germany / German
啤酒	啤酒	ビール	pí jiǔ	be1 zau2	beer (loanword) / CL: 杯, 瓶, 罐, 桶, 缸
果汁	果汁	ジュース	guǒ zhī	gwo2 zap1	fruit juice
汁	汁	ジュース	zhī	zap1	juice
香蕉	香蕉	バナナ	xiāng jiāo	hoeng1 ziu1	banana / CL: 枝, 根, 個｜个, 把
蛋糕	蛋糕	ケーキ	dàn gāo	daan2 gou1	cake / CL: 塊｜块, 個｜个
蕉	蕉	バナナ	jiāo	ziu1	banana || see 蕉萃
糕	糕	ケーキ	gāo	gou1	cake
碗	碗	ボウル	wǎn	wun2	bowl / cup / CL: 隻｜只, 個｜个
杯子	杯子	カップ	bēi zi	bui1 zi2	cup / glass / CL: 個｜个, 隻｜只
盘子	盤子	一品	pán zi	pun4 zi2	tray / plate / dish / CL: 個｜个
盘	盤	一品	pán	pun4	plate / dish / tray / board / hard drive (computing) / to build / to coil / to check / to examine / to transfer (property) / to make over / classifier for food: dish, helping / to coil / classifier for coils of wire / classifier for games of chess
筷子	筷子	箸	kuài zi	faai3 zi2	chopsticks / CL: 對｜对, 根, 把, 雙｜双
刀	刀	ナイフ	dāo	dou1	surname Dao || knife / blade / single-edged sword / cutlass / CL: 把 / (slang) dollar (loanword) / classifier for sets of one hundred sheets (of paper) / classifier for knife cuts or stabs
叉	叉	フォーク	chā	caa1	fork / pitchfork / prong / pick / cross / intersect / 'X' || to cross / be stuck || to diverge / to open (as legs)
筷	筷	箸	kuài	faai3	chopstick
勺子	勺子	スプーン	sháo zi	soek3 zi2	scoop / ladle / CL: 把
勺	勺	スプーン	sháo	soek3	spoon / ladle / CL: 把 / abbr. for 公勺, centiliter (unit of volume)
室	室	部屋	shì	sat1	surname Shi || room / work unit / grave / scabbard / family or clan / one of the 28 constellations of Chinese astronomy
办	辦	やります	bàn	baan6	to do / to manage / to handle / to go about / to run / to set up / to deal with
辆	輛	車	liàng	loeng6	classifier for vehicles
办公室	辦公室	オフィス	bàn gōng shì	baan6 gung1 sat1	office / business premises / bureau / CL: 間｜间
瓶子	瓶子	ボトル	píng zi	ping4 zi2	bottle / CL: 個｜个
照片	照片	フォト	zhào piàn	ziu3 pin3	photograph / picture / CL: 張｜张, 套, 幅
瓶	瓶	ボトル	píng	ping4	bottle / vase / pitcher / CL: 個｜个 / classifier for wine and liquids
片	片	シート	piān	pin3	disk / sheet || thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc
鸟	鳥	鳥	niǎo	niu5	bird / CL: 隻｜只, 群 / (dialect) to pay attention to / (intensifier) damned / goddam
树	樹	ツリー	shù	syu6	tree / CL: 棵 / to cultivate / to set up
步	步	ステップ	bù	bou6	surname Bu || a step / a pace / walk / march / stages in a process / situation
跑	跑	ラン	páo	paau2	(of an animal) to paw (the ground) || to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off
泳	泳	水泳	yǒng	wing6	swimming / to swim
游泳	遊泳	泳ぎます	yóu yǒng	jau4 wing6	swimming / to swim
跑步	跑步	ジョギング	pǎo bù	paau2 bou6	to run / to jog / (military) to march at the double
踢	踢	キック	tī	tek3	to kick / to play (e.g. soccer) / (slang) butch (in a lesbian relationship)
足球	足球	フットボール	zú qiú	zuk1 kau4	soccer ball / a football / CL: 個｜个 / soccer / football
打	打	戦い	dá	daa2	dozen (loanword) || to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from
篮球	籃球	バスケットボール	lán qiú	laam4 kau4	basketball / CL: 個｜个, 隻｜只
足	足	十分に	jù	zuk1	excessive || foot / to be sufficient / ample
篮	籃	バスケット	lán	laam4	basket (receptacle) / basket (in basketball)
球	球	ボール	qiú	kau4	ball / sphere / globe / CL: 個｜个 / ball game / match / CL: 場｜场
运动	運動	スポーツの	yùn dòng	wan6 dung6	to move / to exercise / sports / exercise / motion / movement / campaign / CL: 場｜场
马	馬	馬	mǎ	maa5	surname Ma / abbr. for Malaysia 馬來西亞｜马来西亚 || horse / CL: 匹 / horse or cavalry piece in Chinese chess / knight in Western chess
骑	騎	乗ります	jì	ke4	(Taiwan) saddle horse / mounted soldier || to ride (an animal or bike) / to sit astride / classifier for saddle-horses
运	運	輸送	yùn	wan6	to move / to transport / to use / to apply / fortune / luck / fate
动	動	動き	dòng	dung6	(of sth) to move / to set in movement / to displace / to touch / to make use of / to stir (emotions) / to alter / abbr. for 動詞｜动词, verb
吧	吧	それは	bā	baa1	bar (loanword) (serving drinks, or providing Internet access etc) / to puff (on a pipe etc) / (onom.) bang / abbr. for 貼吧｜贴吧 || (modal particle indicating suggestion or surmise) / ...right? / ...OK? / ...I presume.
出去	出去	アウト	chū qù	ceot1 heoi3	to go out
时间	時間	時間	shí jiān	si4 gaan1	time / period / CL: 段
时候	時候	時間	shí hou	si4 hau6	time / length of time / moment / period
空	空	空の	kōng	hung1	empty / air / sky / in vain || to empty / vacant / unoccupied / space / leisure / free time
来	來	来ます	lái	loi4	to come / to arrive / to come round / ever since / next
候	候	待って	hòu	hau6	to wait / to inquire after / to watch / season / climate / (old) period of five days
过	過	ライブ	guò	gwo3	surname Guo || to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too- || (experienced action marker)
一起	一起	一緒に	yī qǐ	jat1 hei2	in the same place / together / with / altogether (in total)
不好意思	不好意思	恥ずかしいです	bù hǎo yì si	bat1 hou2 ji3 si1	to feel embarrassed / to find it embarrassing / to be sorry (for inconveniencing sb)
告诉	告訴	伝えます	gào sù	gou3 sou3	to press charges / to file a complaint || to tell / to inform / to let know
告	告	伝えます	gào	gou3	to say / to tell / to announce / to report / to denounce / to file a lawsuit / to sue
诉	訴	苦情	sù	sou3	to complain / to sue / to tell
约会	約會	任命	yuē huì	joek3 wui2	appointment / engagement / date / CL: 次, 個｜个 / to arrange to meet
浪漫	浪漫	ロマンチック	làng màn	long6 maan6	romantic
浪	浪	ウェーブ	làng	long6	wave / breaker / unrestrained / dissipated
漫	漫	オーバーフロー	màn	maan6	free / unrestrained / to inundate
该	該	その	gāi	goi1	should / ought to / probably / must be / to deserve / to owe / to be sb's turn to do sth / that / the above-mentioned
病	病	病気	bìng	beng6	illness / CL: 場｜场 / disease / to fall ill / defect
舒	舒	シュウ	shū	syu1	surname Shu || to stretch / to unfold / to relax / leisurely
应	應	すべきです	yìng	jing3	surname Ying || to agree (to do sth) / should / ought to / must / (legal) shall || to answer / to respond / to comply with / to deal or cope with
生病	生病	病気で	shēng bìng	saang1 beng6	to fall ill
应该	應該	すべきです	yīng gāi	jing3 goi1	ought to / should / must
舒服	舒服	楽に	shū fu	syu1 fuk6	comfortable / feeling well
疼	疼	痛み	téng	tung3	(it) hurts / sore / to love dearly
头	頭	ヘッド	tóu	tau4	head / hair style / the top / end / beginning or end / a stub / remnant / chief / boss / side / aspect / first / leading / classifier for pigs or livestock / CL: 個｜个 || suffix for nouns
休息	休息	休息	xiū xi	jau1 sik1	rest / to rest
休	休	休息	xiū	jau1	surname Xiu || to rest / to stop doing sth for a period of time / to cease / (imperative) don't
息	息	関心	xī	sik1	breath / news / interest (on an investment or loan) / to cease / to stop / to rest / Taiwan pr. [xi2]
肚子	肚子	腹	dù zi	tou5 zi2	belly / abdomen / stomach / CL: 個｜个
肚	肚	腹	dǔ	tou5	tripe || belly
药	藥	医学	yào	joek6	leaf of the iris / variant of 藥｜药 || medicine / drug / substance used for a specific purpose (e.g. poisoning, explosion, fermenting) / CL: 種｜种, 服, 味 / to poison
一定	一定	一定	yī dìng	jat1 ding6	surely / certainly / necessarily / fixed / a certain (extent etc) / given / particular / must
感冒	感冒	冷たいです	gǎn mào	gam2 mou6	to catch cold / (common) cold / CL: 場｜场, 次 / (coll.) to be interested in (often used in the negative) / (Tw) to detest / can't stand
感	感	感覚	gǎn	gam2	to feel / to move / to touch / to affect / feeling / emotion / (suffix) sense of ~
定	定	一定	dìng	ding6	to set / to fix / to determine / to decide / to order
冒	冒	リスク	mào	mou6	surname Mao || to emit / to give off / to send out (or up, forth) / to brave / to face / reckless / to falsely adopt (sb's identity etc) / to feign / (literary) to cover
留	留	滞在	liú	lau4	to leave (a message etc) / to retain / to stay / to remain / to keep / to preserve
请假	請假	休暇を求めます	qǐng jià	cing2 gaa3	to request leave of absence
发烧	發燒	熱	fā shāo	faat3 siu1	to have a high temperature (from illness) / to have a fever
别	別	しないでください	bié	bit6	surname Bie || to leave / to depart / to separate / to distinguish / to classify / other / another / don't ...! / to pin / to stick (sth) in || to make sb change their ways, opinions etc
发	發	髪	fā	faat3	to send out / to show (one's feeling) / to issue / to develop / to make a bundle of money / classifier for gunshots (rounds) || hair / Taiwan pr. [fa3]
假	假	偽	jiǎ	gaa3	fake / false / artificial / to borrow / if / suppose || vacation
烧	燒	燃やします	shāo	siu1	to burn / to cook / to stew / to bake / to roast / to heat / to boil (tea, water etc) / fever / to run a temperature / (coll.) to let things go to one's head
派	派	パイ	pài	paai3	clique / school / group / faction / to dispatch / to send / to assign / to appoint / pi (Greek letter Ππ) / the circular ratio pi = 3.1415926 / (loanword) pie
能	能	缶	néng	nang4	surname Neng || can / to be able to / might possibly / ability / (physics) energy
生日	生日	誕生日	shēng rì	saang1 jat6	birthday / CL: 個｜个
派对	派對	パーティー	pài duì	paai3 deoi3	party (loanword)
打扮	打扮	ドレスアップ	dǎ ban	daa2 baan6	to decorate / to dress / to make up / to adorn / manner of dressing / style of dress
扮	扮	遊びます	bàn	baan6	to disguise oneself as / to dress up / to play (a role) / to put on (an expression)
希望	希望	希望	xī wàng	hei1 mong6	to wish for / to desire / hope / CL: 個｜个
跟	跟	とともに	gēn	gan1	heel / to follow closely / to go with / (of a woman) to marry sb / with / compared with / to / towards / and (joining two nouns)
希	希	希望	xī	hei1	to hope / to admire / variant of 稀
望	望	希望	wàng	mong6	full moon / to hope / to expect / to visit / to gaze (into the distance) / to look towards / towards || 15th day of month (lunar calendar) / old variant of 望
大家	大家	誰も	dà jiā	daai6 gaa1	everyone / influential family / great expert
公司	公司	会社	gōng sī	gung1 si1	(business) company / company / firm / corporation / incorporated / CL: 家
正在	正在	あります	zhèng zài	zing3 zoi6	just at (that time) / right in (that place) / right in the middle of (doing sth)
正	正	ポジティブ	zhēng	zing3	first month of the lunar year || straight / upright / proper / main / principal / to correct / to rectify / exactly / just (at that time) / right (in that place) / (math.) positive
司	司	部門	sī	si1	surname Si || to take charge of / to manage / department (under a ministry)
事情	事情	事	shì qing	si6 cing4	affair / matter / thing / business / CL: 件, 樁｜桩
才	才	のみ	cái	coi4	ability / talent / sb of a certain type / a capable individual / only / only then / just now || a moment ago / just now / (indicating sth happening later than expected) / (preceded by a clause of condition or reason) not until / (followed by a numerical clause) only
事	事	事	shì	si6	matter / thing / item / work / affair / CL: 件, 樁｜桩, 回
情	情	愛	qíng	cing4	feeling / emotion / passion / situation
费	費	料金	fèi	fai3	surname Fei || to cost / to spend / fee / wasteful / expenses
完	完	完成	wán	jyun4	to finish / to be over / whole / complete / entire
经	經	スルー	jīng	ging1	surname Jing || classics / sacred book / scripture / to pass through / to undergo / to bear / to endure / warp (textile) / longitude / menstruation / channel (TCM) / abbr. for economics 經濟｜经济
已	已	既に	yǐ	ji5	already / to stop / then / afterwards
已经	已經	既に	yǐ jīng	ji5 ging1	already
小费	小費	先端	xiǎo fèi	siu2 fai3	tip / gratuity
饱	飽	いっぱい	bǎo	baau2	to eat till full / satisfied
好吃	好吃	おいしいです	hǎo chī	hou2 hek3	tasty / delicious || to be fond of eating / to be gluttonous
真	真	真に	zhēn	zan1	really / truly / indeed / real / true / genuine
饿	餓	空腹の	è	ngo6	to be hungry / hungry / to starve (sb)
好喝	好喝	おいしいです	hǎo hē	hou2 hot3	tasty (drinks)
渴	渴	のどが渇い	kě	hot3	thirsty
巧克力	巧克力	チョコレート	qiǎo kè lì	haau2 hak1 lik6	chocolate (loanword) / CL: 塊｜块
味道	味道	味	wèi dao	mei6 dou6	flavor / smell / hint of
甜点	甜點	デザート	tián diǎn	tim4 dim2	dessert
甜	甜	甘いです	tián	tim4	sweet
巧	巧	Opportunely	qiǎo	haau2	opportunely / coincidentally / as it happens / skillful / timely
克	克	グラム	kè	hak1	to be able to / to subdue / to restrain / to overcome / gram / Tibetan unit of land area, about 6 ares || Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God || to scold / to beat
力	力	力	lì	lik6	surname Li || power / force / strength / ability / strenuously
试	試	テスト	shì	si3	to test / to try / experiment / examination / test
蓝	藍	ブルー	lán	laam4	surname Lan || blue / indigo plant
条	條	記事	tiáo	tiu4	strip / item / article / clause (of law or treaty) / classifier for long thin things (ribbon, river, road, trousers etc)
裙	裙	スカート	qún	kwan4	skirt / CL: 條｜条
裙子	裙子	スカート	qún zi	kwan4 zi2	skirt / CL: 條｜条
双	雙	ダブル	shuāng	soeng1	surname Shuang || two / double / pair / both / even (number)
鞋子	鞋子	靴	xié zi	haai4 zi2	shoe
意大利	意大利	イタリア	yì dà lì	ji3 daai6 lei6	Italy / Italian
色	色	カラー	sè	sik1	color / CL: 種｜种 / look / appearance / sex || color / dice
鞋	鞋	靴	xié	haai4	shoe / CL: 雙｜双, 隻｜只
利	利	利益	lì	lei6	surname Li || sharp / favorable / advantage / benefit / profit / interest / to do good to / to benefit
比	比	比	bǐ	bei2	Belgium / Belgian / abbr. for 比利時｜比利时 || (particle used for comparison and '-er than') / to compare / to contrast / to gesture (with hands) / ratio || to associate with / to be near
衬衫	襯衫	シャツ	chèn shān	can3 saam1	shirt / blouse / CL: 件
衬	襯	裏地	chèn	can3	(of garments) against the skin / to line / lining / to contrast with / to assist financially
衫	衫	シャツ	shān	saam1	garment / jacket with open slits in place of sleeves
裤子	褲子	パンツ	kù zi	fu3 zi2	trousers / pants / CL: 條｜条
好看	好看	格好いい	hǎo kàn	hou2 hon3	good-looking / nice-looking / good (of a movie, book, TV show etc) / embarrassed / humiliated
裤	褲	パンツ	kù	fu3	underpants / trousers / pants
质	質	品質	zhì	zat1	character / nature / quality / plain / to pawn / pledge / hostage / to question / Taiwan pr. [zhi2]
量	量	数量	liáng	loeng6	to measure || capacity / quantity / amount / to estimate / abbr. for 量詞｜量词, classifier (in Chinese grammar) / measure word
质量	質量	品質	zhì liàng	zat1 loeng6	quality / (physics) mass / CL: 個｜个
朵	朵	花	duǒ	do2	flower / earlobe / fig. item on both sides / classifier for flowers, clouds etc
睛	睛	目	jīng	zing1	eye / eyeball
绿	綠	グリーン	lǜ	luk6	green
耳	耳	耳	ěr	ji5	ear / handle (archaeology) / and that is all (classical Chinese)
眼	眼	目	yǎn	ngaan5	eye / small hole / crux (of a matter) / CL: 隻｜只, 雙｜双 / classifier for big hollow things (wells, stoves, pots etc)
耳朵	耳朵	耳	ěr duo	ji5 do2	ear / CL: 隻｜只, 個｜个, 對｜对 / handle (on a cup)
眼睛	眼睛	目	yǎn jing	ngaan5 zing1	eye / CL: 隻｜只, 雙｜双
头发	頭發	髪	tóu fa	tau4 faat3	hair (on the head)
脸	臉	顔	liǎn	lim5	face / CL: 張｜张, 個｜个
又	又	と	yòu	jau6	(once) again / also / both... and... / and yet / (used for emphasis) anyway
黑	黑	黒	hēi	hak1	abbr. for Heilongjiang province 黑龍江｜黑龙江 || black / dark / sinister / secret / shady / illegal / to hide (sth) away / to vilify / (loanword) to hack (computing)
嘴巴	嘴巴	口	zuǐ ba	zeoi2 baa1	mouth / CL: 張｜张 / slap in the face / CL: 個｜个
鼻子	鼻子	鼻	bí zi	bei6 zi2	nose / CL: 個｜个, 隻｜只
脚	腳	足	jiǎo	goek3	foot / leg (of an animal or an object) / base (of an object) / CL: 雙｜双, 隻｜只 / classifier for kicks
嘴	嘴	口	zuǐ	zeoi2	mouth / beak / nozzle / spout (of teapot etc) / CL: 張｜张, 個｜个
鼻	鼻	鼻	bí	bei6	nose
巴	巴	パキスタン	bā	baa1	Ba state during Zhou dynasty (in east of modern Sichuan) / abbr. for east Sichuan or Chongqing / surname Ba / abbr. for Palestine or Palestinian / abbr. for Pakistan || to long for / to wish / to cling to / to stick to / sth that sticks / close to / next to / spread open / informal abbr. for bus 巴士 / bar (unit of pressure) / nominalizing suffix on certain nouns, such as 尾巴, tail
远	遠	遥か	yuǎn	jyun5	far / distant / remote / (intensifier in a comparison) by far / much (lower etc) || to distance oneself from (classical)
离	離	から	chī	lei4	mythical beast (archaic) || surname Li || to leave / to part from / to be away from / (in giving distances) from / without (sth) / independent of / one of the Eight Trigrams 八卦, symbolizing fire / ☲
走路	走路	散歩	zǒu lù	zau2 lou6	to walk / to go on foot
开车	開車	車を運転	kāi chē	hoi1 ce1	to drive a car
飞机	飛機	航空機	fēi jī	fei1 gei1	airplane / CL: 架
机场	機場	空港	jī chǎng	gei1 coeng4	airport / airfield / CL: 家, 處｜处
飞	飛	飛びます	fēi	fei1	to fly
场	場	フィールド	cháng	coeng4	threshing floor / classifier for events and happenings: spell, episode, bout || large place used for a specific purpose / stage / scene (of a play) / classifier for sporting or recreational activities / classifier for number of exams
靠	靠	によって	kào	kaau3	to lean against or on / to stand by the side of / to come near to / to depend on / to trust / to fuck (vulgar) / traditional military costume drama where the performers wear armor (old)
停	停	ストップ	tíng	ting4	to stop / to halt / to park (a car)
火车	火車	列車	huǒ chē	fo2 ce1	train / CL: 列, 節｜节, 班, 趟
票	票	チケット	piào	piu3	ticket / ballot / banknote / CL: 張｜张 / person held for ransom / amateur performance of Chinese opera / classifier for groups, batches, business transactions
机票	機票	フライト	jī piào	gei1 piu3	air ticket / passenger ticket / CL: 張｜张
火	火	火災	huǒ	fo2	surname Huo || fire / urgent / ammunition / fiery or flaming / internal heat (Chinese medicine) / hot (popular) / classifier for military units (old)
迟到	遲到	遅れます	chí dào	ci4 dou3	to arrive late
让	讓	作ります	ràng	joeng6	to yield / to permit / to let sb do sth / to have sb do sth / to make sb (feel sad etc) / by (indicates the agent in a passive clause, like 被)
怎么办	怎麽辦	どのように行います	zěn me bàn	zam2 mo1 baan6	what's to be done
迟	遲	遅く	chí	ci4	surname Chi || late / delayed / slow
冷	冷	冷たいです	lěng	laang5	surname Leng || cold
晴	晴	明確な	qíng	cing4	clear / fine (weather)
天气	天氣	天気	tiān qì	tin1 hei3	weather
雨	雨	雨	yǔ	jyu5	rain / CL: 陣｜阵, 場｜场 || to rain / (of rain, snow etc) to fall / to precipitate / to wet
雪	雪	雪	xuě	syut3	surname Xue || snow / snowfall / CL: 場｜场 / to have the appearance of snow / to wipe away, off or out / to clean
阴	陰	陰	yīn	jam1	surname Yin || overcast (weather) / cloudy / shady / Yin (the negative principle of Yin and Yang) / negative (electric.) / feminine / moon / implicit / hidden / genitalia
着	著	ザ・	zhāo	zyu3	(chess) move / trick / all right! / (dialect) to add || to touch / to come in contact with / to feel / to be affected by / to catch fire / to burn / (coll.) to fall asleep / (after a verb) hitting the mark / succeeding in || aspect particle indicating action in progress || to wear (clothes) / to contact / to use / to apply
伞	傘	傘	sǎn	saan3	umbrella / parasol / CL: 把 || damask silk / variant of 傘｜伞
带	帶	ゾーン	dài	daai3	band / belt / girdle / ribbon / tire / area / zone / region / CL: 條｜条 / to wear / to carry / to take along / to bear (i.e. to have) / to lead / to bring / to look after / to raise
外面	外面	外	wài miàn	ngoi6 min6	outside (also pr. [wai4 mian5] for this sense) / surface / exterior / external appearance
可能	可能	可能	kě néng	ho2 nang4	might (happen) / possible / probable / possibility / probability / maybe / perhaps / CL: 個｜个
刮	刮	スクラッチ	guā	gwaat3	to scrape / to blow / to shave / to plunder / to extort || to blow (of the wind)
风	風	風	fēng	fung1	wind / news / style / custom / manner / CL: 陣｜阵, 絲｜丝
如果	如果	もし	rú guǒ	jyu4 gwo2	if / in case / in the event that
就	就	上の	jiù	zau6	at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning
从来	從來	決して	cóng lái	cung4 loi4	always / at all times / never (if used in negative sentence)
如	如	として	rú	jyu4	as / as if / such as
里面	裏面	内部	lǐ miàn	lei5 min6	inside / interior / also pr. [li3 mian5]
然	然	但し	rán	jin4	correct / right / so / thus / like this / -ly
但	但	しかし	dàn	daan6	but / yet / however / only / merely / still
虽	雖	であるが	suī	seoi1	although / even though
短	短	短いです	duǎn	dyun2	short / brief / to lack / weak point / fault
长	長	長いです	cháng	coeng4	length / long / forever / always / constantly || chief / head / elder / to grow / to develop / to increase / to enhance
虽然	雖然	にもかかわらず	suī rán	seoi1 jin4	although / even though / even if
但是	但是	しかし	dàn shì	daan6 si6	but / however
红	紅	赤	hóng	hung4	surname Hong || red / popular / revolutionary / bonus
颜色	顔色	カラー	yán sè	ngaan4 sik1	color / countenance / appearance / facial expression / pigment / dyestuff
穿	穿	着用	chuān	cyun1	to wear / to put on / to dress / to bore through / to pierce / to perforate / to penetrate / to pass through / to thread
颜	顔	カラー	yán	ngaan4	surname Yan || color / face / countenance
黄	黃	黄色	huáng	wong4	surname Huang or Hwang || yellow / pornographic / to fall through
手表	手表	腕時計	shǒu biǎo	sau2 biu1	wrist watch / CL: 塊｜块, 隻｜只, 個｜个
卖	賣	売ります	mài	maai6	to sell / to betray / to spare no effort / to show off or flaunt
帽子	帽子	帽子	mào zi	mou6 zi2	hat / cap / (fig.) label / bad name / CL: 頂｜顶
帽	帽	キャップ	mào	mou6	hat / cap
表	表	テーブル	biǎo	biu2	exterior surface / family relationship via females / to show (one's opinion) / a model / a table (listing information) / a form / a meter (measuring sth) || wrist or pocket watch
紫	紫	パープル	zǐ	zi2	purple / violet / amethyst / Lithospermum erythrorhizon (flowering plant whose root provides red purple dye) / Japanese: murasaki
绍	紹	紹介します	shào	siu6	surname Shao || to continue / to carry on
介	介	入門	jiè	gaai3	to introduce / to lie between / between / shell / armor
介绍	介紹	入門	jiè shào	gaai3 siu6	to introduce (sb to sb) / to give a presentation / to present (sb for a job etc) / introduction
帅	帥	元帥	shuài	seoi3	surname Shuai || handsome / graceful / smart / commander in chief / (coll.) cool! / sweet!
笑	笑	笑い	xiào	siu3	laugh / smile / CL: 個｜个
说话	說話	話します	shuō huà	syut3 waa6	to speak / to say / to talk / to gossip / to tell stories / talk / word
聪明	聰明	賢いです	cōng ming	cung1 ming4	intelligent / clever / bright / smart / acute (of sight and hearing)
别人	別人	人	bié ren	bit6 jan4	other people / others / other person
不但	不但	だけでなく、	bù dàn	bat1 daan6	not only (... but also...)
而且	而且	と	ér qiě	ji4 ce2	(not only ...) but also / moreover / in addition / furthermore
聪	聰	賢いです	cōng	cung1	quick at hearing / wise / clever / sharp-witted / intelligent / acute
而	而	と	ér	ji4	and / as well as / and so / but (not) / yet (not) / (indicates causal relation) / (indicates change of state) / (indicates contrast)
且	且	と	qiě	ce2	and / moreover / yet / for the time being / to be about to / both (... and...)
春	春	春	chūn	ceon1	surname Chun || spring (season) / gay / joyful / youthful / love / lust / life
快乐	快樂	ハッピー	kuài lè	faai3 lok6	happy / merry
节日	節日	休日	jié rì	zit3 jat6	holiday / festival / CL: 個｜个
春节	春節	中国の旧正月	chūn jié	ceon1 zit3	Spring Festival (Chinese New Year)
礼物	禮物	ギフト	lǐ wù	lai5 mat6	gift / present / CL: 件, 個｜个, 份
送	送	送ります	sòng	sung3	to deliver / to carry / to give (as a present) / to present (with) / to see off / to send
新年	新年	新年	xīn nián	san1 nin4	New Year / CL: 個｜个
白酒	白酒	精神	bái jiǔ	baak6 zau2	baijiu, a spirit usually distilled from sorghum
礼	禮	式典	lǐ	lai5	surname Li / abbr. for 禮記｜礼记, Classic of Rites || gift / rite / ceremony / CL: 份 / propriety / etiquette / courtesy
物	物	事	wù	mat6	thing / object / matter / abbr. for physics 物理
干杯	幹杯	乾杯	gān bēi	gon3 bui1	to drink a toast / Cheers! (proposing a toast) / Here's to you! / Bottoms up! / lit. dry cup
祝	祝	希望	zhù	zuk1	surname Zhu || to wish / to express good wishes / to pray / (old) wizard
法国	法國	フランス	fǎ guó	faat3 gwok3	France / French
红酒	紅酒	赤ワイン	hóng jiǔ	hung4 zau2	Red wine
法	法	フランス	fǎ	faat3	France / French / abbr. for 法國｜法国 / Taiwan pr. [Fa4] || law / method / way / Buddhist teaching / Legalist
赛	賽	競争	sài	coi3	to compete / competition / match / to surpass / better than / superior to / to excel
练	練	練習	liàn	lin6	to practice / to train / to drill / to perfect (one's skill) / exercise
练习	練習	練習	liàn xí	lin6 zaap6	to practice / exercise / drill / practice / CL: 個｜个
比赛	比賽	競争	bǐ sài	bei2 coi3	competition (sports etc) / match / CL: 場｜场, 次 / to compete
好在	好在	幸いなこと	hǎo zài	hou2 zoi6	luckily / fortunately
乒乓球	乒乓球	卓球	pīng pāng qiú	bing1 bam1 kau4	table tennis / ping-pong / table tennis ball / CL: 個｜个
乒	乒	卓球	pīng	bing1	(onom.) ping / bing
乓	乓	バン	pāng	bam1	(onom.) bang
参加	參加	参加します	cān jiā	sam1 gaa1	to participate / to take part / to join
第	第	最初の	dì	dai6	(prefix indicating ordinal number, e.g. first, number two etc) / order / (old) rank in the imperial examinations / mansion / (literary) but / just
参	參	人参	cān	sam1	to take part in / to participate / to join / to attend / to counsel / unequal / varied / irregular / uneven / not uniform / abbr. for 參議院｜参议院 Senate, Upper House || ginseng / one of the 28 constellations
网球	網球	テニス	wǎng qiú	mong5 kau4	tennis / tennis ball / CL: 個｜个
排球	排球	バレーボール	pái qiú	paai4 kau4	volleyball / CL: 個｜个
加油	加油	燃料を補給	jiā yóu	gaa1 jau4	to add oil / to top up with gas / to refuel / to accelerate / to step on the gas / (fig.) to make an extra effort / to cheer sb on
排	排	行	pái	paai4	a row / a line / to set in order / to arrange / to line up / to eliminate / to drain / to push open / platoon / raft / classifier for lines, rows etc
油	油	オイル	yóu	jau4	oil / fat / grease / petroleum / to apply tung oil, paint or varnish / oily / greasy / glib / cunning
输	輸	失います	shū	syu1	to lose / to transport / to donate / to enter (a password)
赢	贏	勝利	yíng	jeng4	to beat / to win / to profit
失望	失望	失望しました	shī wàng	sat1 mong6	disappointed / to lose hope / to despair
信心	信心	信頼	xìn xīn	seon3 sam1	confidence / faith (in sb or sth) / CL: 個｜个
失	失	失います	shī	sat1	to lose / to miss / to fail
心	心	心	xīn	sam1	heart / mind / intention / center / core / CL: 顆｜颗, 個｜个
同	同	とともに	tóng	tung4	(used in given names) / variant of 同 || like / same / similar / together / alike / with || see 衚衕｜胡同
课	課	レッスン	kè	fo3	subject / course / CL: 門｜门 / class / lesson / CL: 堂, 節｜节 / to levy / tax / form of divination
